level,attempt,start_seconds,last_hud_seconds,initial_balls,remaining_balls,shots_used,outcome,layout,observed,interpretation,card
"11","1","198.75","206.75","20","16","4","win","Две башни стеклянных емкостей","Попадание в нижнюю часть левой группы разбивает стекло; верхние емкости падают, вращаются и разбиваются ниже.","Отдельное правило хрупкости при контакте; каскад после удаления опоры.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/11-a1-card.jpg"
"12","1","210.75","225.75","20","14","6","win","Красно-желтая стена емкостей","Цветовые полосы внутри единого прямоугольного массива; последней остается узкая колонна.","Цвет не доказывает различие физических параметров.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/12-a1-card.jpg"
"13","1","229.75","246.75","20","12","8","win","Шахматная стена: стекло и банки","После попаданий сочетаются осколки стекла и целые опрокинутые банки.","Контраст правил разрушения при похожей геометрии.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/13-a1-card.jpg"
"14","1","250.75","268.75","20","9","11","win","Деревянная рама с заполнением банками","Длинные вертикальные стойки и горизонтальные поперечины; несколько стоек переживают обрушение верха.","Габариты и центр приложения импульса важнее одного названия материала.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/14-a1-card.jpg"
"15","1","272.75","287.75","20","12","8","win","Смещенные ряды стекла и ящиков под крышей","Шахматная раскладка со сдвигом и длинными деталями сверху.","Сдвиг рядов и перекрытие стыков меняют передачу нагрузки.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/15-a1-card.jpg"
"16","1","291.25","315.25","20","7","13","win","Горизонтальные полосы ящиков и банок","Высокая прямоугольная стена с чередованием рядов; длинный финал из оставшихся нижних деталей.","Плотная стена может требовать много выстрелов без новых механик.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/16-a1-card.jpg"
"17","1","319.25","330.75","20","12","8","win","Пакет банок и стекла на деревянных ножках","Три опорные секции держат верхний массив; попадания в основание снимают большие части.","Понятная иерархия опора — нагрузка.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/17-a1-card.jpg"
"18","1","334.25","354.25","20","9","11","win","Ступенчатая смешанная пирамида","Ярусы разной ширины из ящиков и банок; финал — несколько ящиков у края.","Повтор старого силуэта с другим материалом и ярусами.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/18-a1-card.jpg"
"19","1","363.25","377.75","20","13","7","win","Слои банок, стекла и длинных ящиков","Верх перекрыт длинными деревянными деталями. Перед рабочей попыткой есть перезагрузка без выстрелов.","Крупные перекрытия связывают падение соседних участков.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/19-a1-card.jpg"
"20","1","385.25","416.25","18","4","14","win","Высокая стена с вертикальным чередованием","Первый показанный Hard Level; исходный лимит 18, после победы остается 4.","Сложность повышена также уменьшением запаса ошибок.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/20-a1-card.jpg"
"21","1","424.75","436.25","20","14","6","win","Простая стена каменных блоков","При ударе камни смещаются и опрокидываются; контакт дает пыль, а не немедленное исчезновение всей цели.","Новый материал снова вводится простой раскладкой.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/21-a1-card.jpg"
"22","1","441.75","451.75","20","15","5","win","Низкая каменная арка","Узкие опоры и длинные перекладины; падающие детали разваливают арку.","Тяжелый на вид материал не означает автоматически сложный уровень.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/22-a1-card.jpg"
"23","1","459.25","471.25","20","12","8","win","Каменные опоры с верхом из банок и ящиков","Перед стартом показано предложение бесплатного ракетного бустера; стартовая конструкция на карточке целая.","Соединение нового материала со знакомыми; UI бустера отдельно от ядра.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/23-a1-card.jpg"
"24","1","476.25","503.25","18","3","15","win","Крупный лабиринт из ящиков и банок","Hard Level, лимит 18; после каскадов остаются длинные вертикальные участки и нижний ряд.","Плотная структура плюс малый запас; 15 выстрелов у автора.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/24-a1-card.jpg"
"25","1","509.75","523.25","20","13","7","win","Конструкция из удлиненных стеклянных емкостей","Вертикальные и горизонтальные вытянутые формы; крупные части опрокидываются и разбиваются.","Соотношение сторон расширяет библиотеку без нового базового правила.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/25-a1-card.jpg"
"26","1","528.25","550.25","20","5","15","win","Две фигуры с длинными шеями","Отдельные деревянная и каменная фигуры на двух платформах; автор сначала разбирает одну, затем другую.","Узнаваемый силуэт из тех же прямоугольных деталей.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/26-a1-card.jpg"
"27","1","557.25","585.25","18","5","13","win","Трехсекционный замок из трех материалов","Hard Level, лимит 18; деревянная, металлическая и каменная секции очищаются по очереди.","Сравнение реакции материалов внутри одной задачи.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/27-a1-card.jpg"
"28","1","590.75","608.75","22","12","10","win","Две высокие стены: банки и стекло","Раздельные платформы, увеличенный лимит 22; последовательная очистка массивов.","Лимит масштабируется вместе с объемом сцены.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/28-a1-card.jpg"
"29","1","613.25","632.25","23","13","10","win","Частокол с шахматной верхушкой","Длинные каменные стойки чередуются с банками, сверху короткие элементы; лимит 23.","Микс соотношений сторон и материалов.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/29-a1-card.jpg"
"30","1","637.25","679.25","19","0","19","fail","Большая полосатая стена камня и банок","Super Hard, лимит 19. Первая попытка не очищает основание; во второй автор начинает с другой стороны и выигрывает за 13.","Порядок попаданий и физические исходы влияют на расход; оптимальность не доказана.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/30-a1-card.jpg"
"30","2","682.25","718.25","19","6","13","win","Большая полосатая стена камня и банок","Super Hard, лимит 19. Первая попытка не очищает основание; во второй автор начинает с другой стороны и выигрывает за 13.","Порядок попаданий и физические исходы влияют на расход; оптимальность не доказана.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/30-a2-card.jpg"

